"","X","Report.Number","Supplemental.Number","Accident.Year","Accident.Date.Time","Operator.ID","Operator.Name","Pipeline.Facility.Name","Pipeline.Location","Pipeline.Type","Liquid.Type","Liquid.Subtype","Liquid.Name","Accident.City","Accident.County","Accident.State","Accident.Latitude","Accident.Longitude","Cause.Category","Cause.Subcategory","Unintentional.Release..Barrels.","Intentional.Release..Barrels.","Liquid.Recovery..Barrels.","Net.Loss..Barrels.","Liquid.Ignition","Liquid.Explosion","Pipeline.Shutdown","Shutdown.Date.Time","Restart.Date.Time","Public.Evacuations","Operator.Employee.Injuries","Property.Damage.Costs","Lost.Commodity.Costs","Public.Private.Property.Damage.Costs","Emergency.Response.Costs","Environmental.Remediation.Costs","Other.Costs","All.Costs"
"277",344,20100311,18024,2010,"12/24/2010 2:10 PM",32109,"ONEOK NGL PIPELINE LP","ONEOK NGL PIPELINE-- STERLING 1 PIPELINE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","TRENTON","FANNIN","TX",33.45494,-96.35925,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",7,35,0,7,"NO","NO","YES","12/24/2010 14:26","12/27/2010 17:50",0,0,115000,355,0,10000,0,0,125355
"278",345,20110020,15536,2010,"12/28/2010 9:00 AM",14194,"OILTANKING, HOUSTON LP","OILTANKING HOUSTON #1 P/L","ONSHORE","UNDERGROUND","CRUDE OIL","","","HOUSTON","HARRIS","TX",29.76713,-95.156254,"CORROSION","EXTERNAL",0.48,0,0,0.48,"NO","NO","NO","","",0,0,11000,50,0,1000,5000,500,17550
"279",346,20110025,18933,2010,"12/28/2010 5:30 PM",31610,"BP WEST COAST PRODUCTS L.L.C.","WEST HYNES FACILITY","ONSHORE","UNDERGROUND","CRUDE OIL","","","LONG BEACH","LOS ANGELES","CA",33.863333,-118.163889,"CORROSION","INTERNAL",30,0,2,28,"NO","NO","YES","12/28/2010 19:05","4/18/2011 12:00",0,0,123000,2700,0,33000,702000,0,860700
"280",347,20110027,19212,2010,"12/30/2010 8:40 AM",12105,"MAGELLAN AMMONIA PIPELINE, L.P.","ANHYDROUS AMMONIA LINE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","GARNER","HANCOCK","IA",43.05284,-93.6389,"CORROSION","EXTERNAL",8.57,0,0,8.57,"NO","NO","YES","12/30/2010 9:02","1/1/2011 17:00",0,0,11355,660,0,12500,40000,0,64515
"286",355,20110035,15862,2011,"1/6/2011 5:20 PM",4906,"EXXONMOBIL PIPELINE CO","SOUTH TEXAS RGP SYSTEM","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","DILUTE PROPYLENE","","KLEBURG","TX",27.5529182,-97.9228261,"CORROSION","EXTERNAL",1.7,0,0,1.7,"NO","NO","YES","1/6/2011 21:00","1/8/2011 11:00",0,0,45000,150,0,0,0,0,45150
"289",358,20110038,17781,2011,"1/8/2011 8:16 AM",26149,"ALYESKA PIPELINE SERVICE CO","PUMP STATION 1","ONSHORE","UNDERGROUND","CRUDE OIL","","","DEADHORSE","","AK",70.25666,-148.6203,"CORROSION","INTERNAL",308,0,308,0,"NO","NO","YES","1/8/2011 8:50","1/17/2011 10:18",0,0,14130000,0,0,1570000,0,0,15700000
"295",364,20110048,17382,2011,"1/14/2011 8:30 AM",31580,"MAGELLAN TERMINALS HOLDINGS, LP","","ONSHORE","UNDERGROUND","CRUDE OIL","","","CUSHING","PAYNE","OK",35.56572,-96.44923,"CORROSION","INTERNAL",2,0,2,0,"NO","NO","","","",0,0,24000,200,0,1000,5000,0,30200
"299",368,20110046,18365,2011,"1/18/2011 8:30 AM",12628,"EXXONMOBIL PIPELINE CO","MOKENA STATION- 10961 NORTH 183RD ST","ONSHORE","UNDERGROUND","CRUDE OIL","","","MOKENA","WILL","IL",41.55455,-87.88425,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0.2,0,0.2,0,"NO","NO","","","",0,0,1000,20,0,3500,1000,0,5520
"301",370,20110034,18405,2011,"1/18/2011 7:54 PM",2552,"COLONIAL PIPELINE CO","WOODBURY JUNCTION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","WEST DEPTFORD","GLOUCESTER","NJ",39.81694,-75.20028,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.52,0,0.52,0,"NO","NO","NO","","",0,0,12000,75,0,48000,0,0,60075
"303",372,20110045,16083,2011,"1/19/2011 12:30 PM",18718,"SUNOCO PIPELINE L.P.","EOLA TO MAYSVILLE 10""","ONSHORE","UNDERGROUND","CRUDE OIL","","","MAYSVILLE","GARVIN","OK",34.76231,-97.44047,"CORROSION","INTERNAL",1250,0,215,1035,"NO","NO","YES","1/19/2011 12:30","1/22/2011 11:00",0,0,83560,90304,0,101501,541365,0,816730
"308",377,20110217,19952,2011,"1/27/2011 8:30 AM",30829,"ENTERPRISE CRUDE PIPELINE LLC","C67","ONSHORE","UNDERGROUND","CRUDE OIL","","","IOLA","GRIMES","TX",30.77929,-96.06167,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",6911,0,3600,3311,"NO","NO","YES","1/27/2011 8:30","",0,0,17111,297000,40000,683101,3431044,0,4468256
"310",380,20110065,18335,2011,"2/2/2011 4:30 AM",4906,"EXXONMOBIL PIPELINE CO","NORTH HOUSTON METER STATION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","HOUSTON","HARRIS","TX",29.885833,-95.410833,"MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",5.6,0,5.6,0,"NO","NO","YES","2/2/2011 4:34","2/2/2011 16:00",0,0,0,600,0,45000,0,0,45600
"324",397,20110085,15958,2011,"2/12/2011 6:00 PM",18718,"SUNOCO PIPELINE L.P.","4"" GATHERING WHITE OAK","ONSHORE","UNDERGROUND","CRUDE OIL","","","WHITE OAK","GREGG","TX",32.5409,-94.8693,"CORROSION","EXTERNAL",40,0,24,16,"NO","NO","NO","","",0,0,3623,1312,0,44678,76445,0,126058
"325",398,20110079,17696,2011,"2/13/2011 5:10 AM",18718,"SUNOCO PIPELINE L.P.","DIBOLL-MILLENNIUM","ONSHORE","UNDERGROUND","CRUDE OIL","","","DIBOLL","ANGELINA","TX",31.1611,-94.6751,"INCORRECT OPERATION","OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP",4,0,3,1,"NO","NO","NO","","",0,0,1597,83,0,2964,1125,0,5769
"328",401,20110106,15780,2011,"2/14/2011 5:30 PM",32543,"DENBURY GREEN PIPELINE-TEXAS, LLC","DENBURY GREEN PIPELINE-TEXAS, LLC","ONSHORE","UNDERGROUND","CO2 (CARBON DIOXIDE)","","","BEAUMONT","JEFFERSON","TX",29.98722,-94.07171,"MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",2.4,43180,0,2.4,"NO","NO","YES","2/16/2011 14:00","2/19/2011 5:18",0,0,64111,93012,1000,2520,0,0,160643
"333",406,20110059,16320,2011,"2/17/2011 3:59 PM",32109,"ONEOK NGL PIPELINE LP","NORTH LINE 2","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","MEDFORD","GRANT","OK",36.892543,-97.759315,"CORROSION","EXTERNAL",50,0,0,50,"NO","NO","YES","2/17/2011 15:59","2/26/2011 13:30",0,0,1e+05,4905,25000,12000,15000,0,156905
"334",407,20110088,17448,2011,"2/18/2011 3:07 AM",22610,"MAGELLAN PIPELINE COMPANY, LP","MILFORD TERMINAL","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","MILFORD","DICKINSON","IA",43.29194,-95.15111,"NATURAL FORCE DAMAGE","TEMPERATURE",0.24,0,0.24,0,"NO","NO","","","",0,0,1000,25,12000,0,15000,0,28025
"339",412,20110206,19263,2011,"2/21/2011 1:30 PM",30829,"ENTERPRISE CRUDE PIPELINE LLC","CUSHING EAST FACILITY","ONSHORE","UNDERGROUND","CRUDE OIL","","","CUSHING","LINCOLN","OK",35.93964,-96.748064,"MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",600,0,593,7,"NO","NO","NO","","",0,0,43438,320,0,1000,107692,7924,160374
"347",421,20110104,15921,2011,"2/28/2011 1:50 PM",22610,"MAGELLAN PIPELINE COMPANY, LP","#6-10"" EL DORADO TO KANSAS CITY LINE","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","EMPORIA","LYON","KS",38.36098,-96.27164,"MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",20,0,20,0,"NO","NO","YES","2/28/2011 14:14","3/2/2011 18:00",0,0,18382,0,0,19083,5000,0,42465
"353",427,20110113,17381,2011,"3/10/2011 9:00 AM",31580,"MAGELLAN TERMINALS HOLDINGS, LP","CUSHING CRUDE TERMINAL","ONSHORE","UNDERGROUND","CRUDE OIL","","","CUSHING","","OK",35.94595,-96.74872,"INCORRECT OPERATION","OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP",100,0,100,0,"NO","NO","NO","","",0,0,0,200,0,1000,0,0,1200
"354",428,20110115,17549,2011,"3/10/2011 12:28 PM",32044,"BP USFO/LOGISTICS","RIVER ROUGE TERMINAL","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","RIVER ROUGE","WAYNE","MI",42.278472,-83.123064,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",0.95,0,0.95,0,"NO","NO","NO","","",0,0,8450,100,0,5500,5000,0,19050
"355",429,20110118,16659,2011,"3/14/2011 8:30 AM",31580,"MAGELLAN TERMINALS HOLDINGS, LP","HAMDEN NEW HAVEN 8""","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","HAMDEN","NEW HAVEN","CT",41.307,-72.90925,"CORROSION","EXTERNAL",600,0,296,304,"NO","NO","","","",0,0,35000,80000,1e+05,2e+05,1817739,0,2232739
"357",432,20110114,15920,2011,"3/15/2011 10:00 AM",31684,"CONOCOPHILLIPS","","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","","","OK",36.221931,-97.747128,"MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",1,0,0,1,"NO","NO","","","",0,0,40594,45,400,100,0,0,41139
"365",440,20110122,18372,2011,"3/22/2011 9:57 AM",31166,"MUSTANG PIPE LINE PARTNERS","GIBSON CITY PUMP STATION,  FORD COUNTY, ILL","ONSHORE","UNDERGROUND","CRUDE OIL","","","GIBSON CITY","FORD","IL",40.5161701,-88.3192648,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.5,0,0.5,0,"NO","NO","NO","","",0,0,0,54,0,15000,5700,0,20754
"369",446,20110126,16795,2011,"3/30/2011 3:35 PM",2731,"CHEVRON PIPE LINE CO","SALT LAKE PRODUCTS","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","HABBERMAN","TWIN FALLS","ID",42.73839,-114.948008,"CORROSION","EXTERNAL",228,0,23,205,"NO","NO","YES","3/30/2011 15:35","4/1/2011 20:00",0,0,30000,33516,0,65000,90000,0,218516
"371",449,20110130,18545,2011,"4/4/2011 8:00 AM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","SUPERIOR TERMINAL","ONSHORE","UNDERGROUND","CRUDE OIL","","","SUPERIOR","DOUGLAS","WI",46.68889,-92.05972,"CORROSION","INTERNAL",0.29,0,0.29,0,"NO","NO","NO","","",0,0,67647,0,0,47000,8000,0,122647
"372",450,20110131,15782,2011,"4/4/2011 8:00 AM",300,"PLAINS PIPELINE, L.P.","MCCAMEY TANK FARM","ONSHORE","UNDERGROUND","CRUDE OIL","","","MCCAMEY","UPTON","TX",31.13244,-102.19101,"CORROSION","INTERNAL",4,0,4,0,"NO","NO","YES","4/4/2011 9:00","4/4/2011 11:00",0,0,7500,400,0,2500,500,0,10900
"373",451,20110121,16714,2011,"4/6/2011 12:44 PM",31554,"CHEVRON PETROCHEMICAL PIPELINE LLC","EVANGELINE ETHYLENE PIPELINE SYSTEM","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","ETHYLENE","JENNINGS","JEFFERSON DAVIS","LA",30.354517,-92.709983,"MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",5.23,500,0,5.23,"NO","NO","YES","4/6/2011 12:44","4/13/2011 17:15",0,0,523867,35633,0,0,0,0,559500
"374",452,20110128,18401,2011,"4/7/2011 12:31 AM",2552,"COLONIAL PIPELINE CO","DORSEY JUNCTION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","WOODBINE","CARROLL","MD",39.36101,-77.03759,"MATERIAL/WELD/EQUIP FAILURE","FAILURE OF EQUIPMENT BODY",0.19,0,0.19,0,"NO","NO","","","",0,0,392,30,0,2170,0,0,2592
"375",453,20110134,16368,2011,"4/10/2011 4:45 PM",31610,"BP WEST COAST PRODUCTS L.L.C.","LINE 82D","ONSHORE","UNDERGROUND","CRUDE OIL","","","LONG BEACH","LOS ANGELES COUNTY","CA",33.78114,-118.22177,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.6,0,0.6,0,"NO","NO","","","",0,0,1500,100,0,3000,0,0,4600
"377",455,20110138,21801,2011,"4/12/2011 8:15 AM",22430,"WEST SHORE PIPELINE CO","FOX RIVER TO US OIL","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","GREEN BAY","BROWN","WI",44.5311,-88.0121,"CORROSION","EXTERNAL",11.9,0,2.4,9.5,"NO","NO","YES","4/10/2011 4:34","5/7/2011 16:00",0,0,23000,0,0,10000,561361,0,594361
"378",456,20110137,18272,2011,"4/12/2011 2:20 PM",1845,"BUCKEYE PARTNERS, LP","HUNTINGTON TO JOLIETVILLE","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","","HUNTINGTON","IN",40.78155,-85.50785,"MATERIAL/WELD/EQUIP FAILURE","DEFECTIVE OR LOOSE TUBING/FITTING",0.48,0,0.48,0,"NO","NO","YES","4/12/2011 14:39","4/13/2011 10:25",0,0,0,0,0,5200,20675,0,25875
"380",458,20110140,20225,2011,"4/13/2011 6:58 PM",32147,"MARATHON PIPE LINE LLC","WOLVERINE PIPELINE","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","DANSVILLE","INGHAM","MI",42.514136,-84.242059,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",9000,0,6643,2357,"NO","NO","YES","4/13/2011 19:02","4/18/2011 15:20",0,0,193000,350000,0,14885903,20300000,0,35728903
"381",459,20110139,16326,2011,"4/14/2011 12:35 PM",12105,"MAGELLAN AMMONIA PIPELINE, L.P.","VERDIGRIS LATERAL","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","","GARFIELD ","OK",36.38298,-97.49642,"MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",1.43,0,0,1.43,"NO","NO","NO","","",0,0,1000,110,0,20000,0,0,21110
"384",462,20110144,16032,2011,"4/20/2011 8:05 PM",12105,"MAGELLAN AMMONIA PIPELINE, L.P.","ANHYDROUS AMMONIA WEST LEG","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","MANCHESTER","DICKINSON","KS",39.080486,-97.35301,"MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",15,0,0,15,"NO","NO","YES","4/20/2011 20:05","4/20/2011 23:05",0,0,13000,1125,1000,1000,25000,0,41125
"385",463,20110145,16033,2011,"4/21/2011 3:17 PM",12105,"MAGELLAN AMMONIA PIPELINE, L.P.","ANHYDROUS AMMONIA WEST LEG","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","SOLOMON","SALINE","KS",38.939028,-97.428013,"MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",2,0,0,2,"NO","NO","YES","4/21/2011 15:17","4/21/2011 18:25",0,0,20000,150,1000,1000,25000,0,47150
"386",464,20110163,19234,2011,"4/24/2011 10:00 PM",26136,"PARAMOUNT PETROLEUM CORP","LINE 145","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","PARAMOUNT","LOS ANGELES","CA",33.5352,-118.0842,"EXCAVATION DAMAGE","PREVIOUS DAMAGE DUE TO EXCAVATION",1,0,0.1,0.9,"NO","NO","YES","4/24/2011 22:05","4/27/2011 8:00",0,0,35000,100,0,0,1000,0,36100
"387",465,20110146,15810,2011,"4/25/2011 2:00 PM",18092,"SFPP, LP","LS 64","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","LIVE OAK","SUTTER","CA",39.193056,-121.631436,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",8.19,0,8.19,0,"NO","NO","YES","4/25/2011 14:16","4/25/2011 18:16",0,0,1000,1301,0,25000,0,0,27301
"388",466,20110156,17692,2011,"4/27/2011 8:00 AM",18718,"SUNOCO PIPELINE L.P.","RINGGOLD STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","RINGGOLD","MONTAGUE","TX",33.86329,-97.95336,"CORROSION","INTERNAL",8,0,6,2,"NO","NO","YES","4/27/2011 8:00","4/27/2011 9:00",0,0,23450,219,0,23767,2396,0,49832
"390",468,20110132,17656,2011,"4/28/2011 10:00 AM",300,"PLAINS PIPELINE, L.P.","MESA TANK FARM","ONSHORE","UNDERGROUND","CRUDE OIL","","","MIDLAND","MIDLAND","TX",32.017047,-102.026175,"CORROSION","EXTERNAL",2,0,2,0,"NO","NO","YES","4/28/2011 10:00","4/28/2011 12:00",0,0,4000,200,0,750,4500,0,9450
"393",471,20110165,19892,2011,"5/3/2011 6:15 AM",5081,"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC","BARTLESVILLE TO BROOME PIPELINE","ONSHORE","UNDERGROUND","CRUDE OIL","","","CANEY","MONTGOMERY","KS",37.027049,-95.89245,"CORROSION","INTERNAL",95,0,93,2,"NO","NO","YES","5/3/2011 6:45","",0,0,0,9690,0,68000,2000,20012,99702
"399",480,20110141,16340,2011,"5/14/2011 3:40 PM",32109,"ONEOK NGL PIPELINE LP","ONEOK NORTH SYSTEM 106W PIPELINE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","REFINERY GRADE BUTANE","ROMEOVILLE","","IL",41.639016,-88.124155,"CORROSION","EXTERNAL",100,0,0,100,"NO","NO","YES","5/14/2011 15:40","5/27/2011 18:30",25,0,549459,7140,20000,15000,129589,0,721188
"400",481,20110180,16521,2011,"5/17/2011 9:40 AM",1845,"BUCKEYE PARTNERS, LP","FINDLAY JUNCTION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","FINDLAY","HANCOCK COUNTY","OH",41.04755,-83.73375,"CORROSION","EXTERNAL",2.4,0,2.4,0,"NO","NO","YES","5/17/2011 9:40","5/22/2011 12:00",0,0,75630,0,0,160080,0,0,235710
"402",483,20110172,17960,2011,"5/19/2011 9:30 AM",32147,"MARATHON PIPE LINE LLC","MARTINSVILLE-LIMA 22"" CRUDE","ONSHORE","UNDERGROUND","CRUDE OIL","","","LIMA","ALLEN","OH",40.706216,-84.1146149,"INCORRECT OPERATION","OTHER INCORRECT OPERATION",0.08,0,0.08,0,"YES","NO","NO","","",0,0,178000,10,0,0,0,0,178010
"405",486,20110192,18062,2011,"5/23/2011 4:00 AM",26041,"KINDER MORGAN LIQUID TERMINALS, LLC","","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","PASADENA","HARRIS","TX",40.52243,-74.25384,"CORROSION","EXTERNAL",1,0,1,0,"NO","NO","YES","5/23/2011 4:00","6/6/2011 9:00",0,0,10000,58,0,0,1000,0,11058
"407",488,20110219,16180,2011,"5/26/2011 1:10 PM",22830,"WOLVERINE PIPELINE CO","JOLIET TO KENNEDY AVE 18 INCH PRODUCTS SYSTEM","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","MONEE","WILL","IL",41.4145,-87.7665,"MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",4,0,1,3,"NO","NO","NO","","",0,0,2e+05,547,0,1e+05,115000,0,415547
"417",499,20110236,15924,2011,"6/9/2011 2:00 PM",10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","YANKTON TO MILFORD","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","MILFORD","DICKINSON","IA",43.286542,-95.260549,"EXCAVATION DAMAGE","PREVIOUS DAMAGE DUE TO EXCAVATION",4,0,4,0,"NO","NO","YES","6/9/2011 14:22","6/11/2011 7:15",0,0,20000,588,20000,57000,10000,0,107588
"420",502,20110225,16584,2011,"6/10/2011 11:00 AM",31454,"NUSTAR LOGISTICS, L.P.","31P RINGGOLD - WASSON PIPELINE","ONSHORE","UNDERGROUND","CRUDE OIL","","","RINGLING","CARTER","OK",34.16078,-97.53915,"CORROSION","INTERNAL",0.23,0,0,0.23,"NO","NO","","","",0,0,9070,23,0,1350,100,0,10543
"424",506,20110216,18400,2011,"6/13/2011 2:30 PM",2552,"COLONIAL PIPELINE CO","COLONIAL","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","PAULDING","JASPER","MS",32.02879,-89.10231,"CORROSION","INTERNAL",0.8,0,0.8,0,"NO","NO","","","",0,0,28489,99,0,0,0,0,28588
"426",508,20110243,15931,2011,"6/14/2011 12:16 PM",2731,"CHEVRON PIPE LINE CO","WEST TEXAS LPG SYSTEM","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","SEMINOLE","GAINES ","TX",32.777568,-102.950783,"MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",33,1014,0,33,"NO","NO","","","",0,0,40903,64929,0,3000,0,0,108832
"428",510,20110242,17572,2011,"6/16/2011 6:00 AM",12470,"MID - VALLEY PIPELINE CO","LIMA STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","LIMA","ALLEN","OH",40.70825,-84.12206,"CORROSION","INTERNAL",100,0,90,10,"NO","NO","YES","6/16/2011 6:00","6/17/2011 14:15",0,0,25000,915,0,15000,79973,0,120888
"430",512,20110244,18892,2011,"6/16/2011 1:55 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","NEWTON STATION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","NEWTON","NEWTON","TX",30.452391,-93.464003,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",12,0,10,2,"NO","NO","NO","","",0,0,100,1500,0,6000,5500,0,13100
"431",513,20110189,16014,2011,"6/16/2011 2:00 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","L27A-10","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","TAFT","SAN PATRICIO","TX",27.959521,-97.360576,"CORROSION","EXTERNAL",50,450,0,50,"NO","NO","YES","6/16/2011 15:08","6/30/2011 3:30",0,0,303053,47250,10000,1000,5000,278697,645000
"433",515,20110247,18466,2011,"6/18/2011 6:00 PM",30829,"ENTERPRISE CRUDE PIPELINE LLC","CUSHING WEST TERMINAL","ONSHORE","UNDERGROUND","CRUDE OIL","","","CUSHING","PAYNE","OK",35.953482,-96.759374,"CORROSION","INTERNAL",19,0,10,9,"NO","NO","NO","","",0,0,4645,2000,0,0,70620,0,77265
"436",520,20110251,20360,2011,"6/29/2011 8:41 AM",22610,"MAGELLAN PIPELINE COMPANY, LP","#5-12"" KANSAS CITY TO IRVINGTON PIPELINE ","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","OTHER","GASOLINE-DIESEL MIX","NEBRASKA CITY","OTOE","NE",40.74573,-95.91459,"MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",3,0,3,0,"NO","NO","YES","6/29/2011 8:51","6/30/2011 14:14",0,0,10000,325,3000,8000,130680,0,152005
"437",521,20110234,17115,2011,"7/1/2011 7:00 AM",32103,"CRIMSON PIPELINE L.P.","HUNTINGTON BEACH GATHERING ","ONSHORE","UNDERGROUND","CRUDE OIL","","","HUNTINGTON BEACH","ORANGE","CA",33.6938,-118.0064056,"CORROSION","INTERNAL",20,0,15,5,"NO","NO","YES","7/1/2011 7:00","7/7/2011 11:00",0,0,50000,2000,25000,250000,434000,150000,911000
"438",522,20110259,21364,2011,"7/1/2011 1:23 PM",12634,"MOBIL CHEMICAL CO","MC-62","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","DILUTE PROPYLENE (PROPYLENE/PROPANE MIX)","","ORANGE","TX",30.08566,-94.026683,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.14,0,0,0.14,"NO","NO","YES","7/1/2011 17:20","7/13/2011 10:00",0,0,5000,20,5000,106417,0,516393,632830
