"","Report.Number","Supplemental.Number","Accident.Year","Accident.Date.Time","Operator.ID","Operator.Name","Pipeline.Facility.Name","Pipeline.Location","Pipeline.Type","Liquid.Type","Liquid.Subtype","Liquid.Name","Accident.City","Accident.County","Accident.State","Accident.Latitude","Accident.Longitude","Cause.Category","Cause.Subcategory","Unintentional.Release..Barrels.","Intentional.Release..Barrels.","Liquid.Recovery..Barrels.","Net.Loss..Barrels.","Liquid.Ignition","Liquid.Explosion","Pipeline.Shutdown","Shutdown.Date.Time","Restart.Date.Time","Public.Evacuations","Operator.Employee.Injuries","Operator.Contractor.Injuries","Emergency.Responder.Injuries","Other.Injuries","Public.Injuries","All.Injuries","Operator.Employee.Fatalities","Operator.Contractor.Fatalities","Emergency.Responder.Fatalities","Other.Fatalities","Public.Fatalities","All.Fatalities","Property.Damage.Costs","Lost.Commodity.Costs","Public.Private.Property.Damage.Costs","Emergency.Response.Costs","Environmental.Remediation.Costs","Other.Costs","All.Costs"
"1535",20140102,19663,2014,"2/18/2014 12:00 PM",18718,"SUNOCO PIPELINE L.P.","AKIN A STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","WHITE OAK","GREGG","TX",32.519797,-94.870959,"MATERIAL/WELD/EQUIP FAILURE","FAILURE OF EQUIPMENT BODY",0.48,NA,0,0.48,"NO","NO","YES","2/18/2014 12:00","8/5/2014 9:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,0,0,2000,0,0,7000
"1538",20140104,19566,2014,"2/19/2014 10:20 AM",31570,"TESORO HIGH PLAINS PIPELINE COMPANY LLC","TESORO HIGH PLAINS PIPELINE","ONSHORE","UNDERGROUND","CRUDE OIL","","","CARTWRIGHT","MCKENZIE","ND",47.78822,-103.97761,"EXCAVATION DAMAGE","OPERATOR/CONTRACTOR EXCAVATION DAMAGE",65,NA,65,0,"NO","NO","YES","2/19/2014 10:25","4/16/2014 5:45",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,200,0,69700,0,0,72700
"1542",20140088,19117,2014,"2/21/2014 2:20 AM",2552,"COLONIAL PIPELINE CO","BATON ROUGE JUNCTION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","JACKSON","EAST FELICIANA","LA",30.71051,-91.28333,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.3,NA,0.3,0,"NO","NO","YES","2/21/2014 3:47","2/21/2014 8:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,35,0,2745,0,0,2830
"1549",20140115,19610,2014,"2/24/2014 5:04 PM",18718,"SUNOCO PIPELINE L.P.","KILGORE 10""","ONSHORE","UNDERGROUND","CRUDE OIL","","","LONGVIEW","GREGG","TX",32.44166,-94.81077,"CORROSION","INTERNAL",20,NA,10,10,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10675,1489,0,21713,172594,0,206471
"1556",20140124,19732,2014,"3/2/2014 1:00 PM",31270,"TRI-STATES NGL PIPELINE LLC","TRISTATES NGL PIPELINE/DUKE STATION","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","MOBILE","MOBILE","AL",30.390281,88.173136,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",3,1.64,0,3,"NO","NO","","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,210,0,480,0,0,1090
"1565",20140129,21407,2014,"3/6/2014 5:30 PM",1845,"BUCKEYE PARTNERS, LP","KOUTS STATION (KZ)","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","KOUTS","PORTER","IN",41.311708,-87.006836,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0.24,NA,0.24,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,791,0,0,0,0,0,791
"1568",20140132,19711,2014,"3/9/2014 12:00 PM",31580,"MAGELLAN TERMINALS HOLDINGS, LP","CENTRAL CUSHING","ONSHORE","ABOVEGROUND","CRUDE OIL","","","CUSHING","PAYNE","OK",35.94603,-96.74797,"INCORRECT OPERATION","INCORRECT VALVE POSITION",1,NA,0.93,0.07,"NO","NO","YES","3/9/2014 12:05","3/9/2014 16:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,300,0,1000,0,0,1500
"1573",20140142,19840,2014,"3/13/2014 11:15 AM",31570,"TESORO HIGH PLAINS PIPELINE COMPANY LLC","TESORO HIGH PLAINS PIPELINE","ONSHORE","TANK","CRUDE OIL","","","TIOGA","WILLIAMS","ND",48.39696,-102.91027,"NATURAL FORCE DAMAGE","TEMPERATURE",5,NA,5,0,"NO","NO","NO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6000,0,0,24000,0,0,30000
"1575",20140271,20599,2014,"3/14/2014 12:30 AM",1845,"BUCKEYE PARTNERS, LP","162","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","KANKAKEE","KANKAKEE","IL",41.14364,-87.902235,"OTHER OUTSIDE FORCE DAMAGE","ELECTRICAL ARCING FROM OTHER EQUIPMENT/FACILITY",5,NA,5,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252249,0,0,1006918,747951,0,2007118
"1576",20140137,19554,2014,"3/14/2014 1:13 PM",18718,"SUNOCO PIPELINE L.P.","CORSICANA STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","CORSICANA","NAVARRO","TX",32.072932,-96.467214,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.75,NA,0.48,0.27,"NO","NO","NO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,50,0,2800,0,0,2950
"1582",20140126,19378,2014,"3/17/2014 5:00 PM",31684,"PHILLIPS 66 PIPELINE LLC","THUMS LINE","ONSHORE","UNDERGROUND","CRUDE OIL","","","WILMINGTON","LOS ANGELES","CA",33.787864,-118.269456,"CORROSION","INTERNAL",39,NA,39,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,900,30000,300000,45000,0,400900
"1583",20140152,20129,2014,"3/17/2014 8:19 PM",12470,"MID - VALLEY PIPELINE CO","MAYERSVILLE TO LIMA 20""","ONSHORE","UNDERGROUND","CRUDE OIL","","","COLERAIN TOWNSHIP","HAMILTON","OH",39.252793,-84.685909,"MATERIAL/WELD/EQUIP FAILURE","ENVIRONMENTAL CRACKING-RELATED",450,NA,442,8,"NO","NO","YES","3/17/2014 22:34","3/23/2014 16:53",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88252,770,2292685,2706148,2087084,0,7174939
"1593",20140146,19472,2014,"3/21/2014 10:30 PM",22855,"KOCH PIPELINE COMPANY, L.P.","TP-2 CORPUS CHRISTI TO GONZALEZ 18""","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","CORPUS CHRISTI","NUECES","TX",27.83668,-97.52718,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.44,NA,0.44,0,"NO","NO","YES","3/21/2014 22:38","3/22/2014 3:40",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132,0,8518,0,0,8650
"1599",20140160,19724,2014,"3/27/2014 9:15 AM",18718,"SUNOCO PIPELINE L.P.","CORSICANA STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","CORSICANA","NAVARRO","TX",32.07175,-96.47357,"MATERIAL/WELD/EQUIP FAILURE","DEFECTIVE OR LOOSE TUBING/FITTING",1,NA,1,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2000,0,0,2000
"1605",20140161,19527,2014,"3/31/2014 1:00 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","BAYTOWN TO BEAUMONT # 1","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","FANNETT","JEFFERSON","TX",29.935,-94.2833333,"MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",0.71,NA,0.71,0,"NO","NO","YES","4/1/2014 14:10","4/1/2014 19:46",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205120,100,0,7405,182705,0,395330
"1606",20140145,19251,2014,"4/1/2014 7:30 AM",31684,"PHILLIPS 66 PIPELINE LLC","WICHITA FALLS TERMINAL","ONSHORE","ABOVEGROUND","CRUDE OIL","","","WICHITA FALLS","WICHITA","TX",33.936574,-98.496891,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",1.12,NA,1.12,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,100,0,3000,3000,0,6600
"1607",20140170,20308,2014,"4/1/2014 8:20 AM",12105,"MAGELLAN AMMONIA PIPELINE, L.P.","SOUTH LEG NH3 LINE MP 178 TO CONWAY","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","CONWAY","MCPHERSON","KS",38.34044,-97.83677,"MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",31.42,0,0,31.42,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,1344,2000,1000,65682,0,100026
"1611",20140157,19286,2014,"4/3/2014 7:30 AM",31684,"PHILLIPS 66 PIPELINE LLC","BL-02","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","BUTANE","CAHOKIA","ST. CLAIR","IL",38.581933,-90.188644,"MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",0.19,0,0,0.19,"NO","NO","NO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,33,0,500,0,0,5533
"1616",20140179,19367,2014,"4/8/2014 7:15 AM",2552,"COLONIAL PIPELINE CO","BENGAL/BATON ROUGE","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","JACKSON","EAST FELICIANA","LA",30.71133,-91.27589,"MATERIAL/WELD/EQUIP FAILURE","DEFECTIVE OR LOOSE TUBING/FITTING",0.79,NA,0.79,0,"NO","NO","YES","4/10/2014 13:00","4/10/2014 13:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,85,0,24000,0,0,24090
"1617",20140178,20164,2014,"4/8/2014 9:45 AM",22855,"KOCH PIPELINE COMPANY, L.P.","HUGO PUMP STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","HUGO","WASHINGTON","MN",45.143056,-92.999245,"INCORRECT OPERATION","OTHER INCORRECT OPERATION",0.6,NA,0.58,0.02,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,92,1273261,53773,0,0,1327126
"1618",20140197,20217,2014,"4/8/2014 10:25 AM",15156,"SINCLAIR TRANSPORTATION COMPANY","MID CONTINENT PIPELINE","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE)","","GORIN","SCOTLAND","MO",40.36474,-92.01656,"CORROSION","EXTERNAL",80,NA,0,80,"NO","NO","YES","4/8/2014 10:31","4/10/2014 7:23",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,10080,210395,1589,0,0,223064
"1624",20140186,19384,2014,"4/14/2014 8:30 AM",10250,"KIANTONE PIPELINE CORP","KIANTONE PIPELINE CORPORATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","WARREN","WARREN","PA",41.831164,-79.117514,"CORROSION","EXTERNAL",2,NA,1.9,0.1,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122000,200,11000,98500,18300,0,250000
"1629",20140190,19390,2014,"4/16/2014 11:45 PM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","LINE 3/DR","ONSHORE","ABOVEGROUND","CRUDE OIL","","","DEER RIVER","ITASCA","MN",47.32556,-93.76389,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.36,NA,0.36,0,"NO","NO","YES","4/16/2014 23:45","4/17/2014 2:09",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10508,40,0,8495,0,0,19043
"1638",20140207,20055,2014,"4/25/2014 8:40 AM",1845,"BUCKEYE PARTNERS, LP","HAMMOND TERMINAL","ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE)","","HAMMOND","LAKE","IN",41.6076,-87.4667,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0.95,NA,0.95,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,0,0,926,0,224,2650
"1640",20140202,20024,2014,"4/25/2014 10:45 AM",11551,"DELEK LOGISTICS OPERATING, LLC.","COLQUITT GATHERING","ONSHORE","UNDERGROUND","CRUDE OIL","","","HAYNESVILLE","CLAIBORNE","LA",32.97035,-92.93675,"CORROSION","INTERNAL",400,NA,223,177,"NO","NO","YES","4/25/2014 10:45","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,6545,50000,2500000,500000,250000,3341545
"1662",20140219,19703,2014,"5/6/2014 4:12 PM",9175,"JAYHAWK PIPELINE LLC","HILL CITY STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","NEAR HILL CITY","GRAHAM","KS",39.369394,-99.80891,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",2.9,NA,2.1,0.8,"NO","NO","YES","5/6/2014 16:31","5/8/2014 23:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1317,300,0,4205,6633,2500,14955
"1665",20140227,20257,2014,"5/11/2014 4:30 PM",4805,"EXPLORER PIPELINE CO","GREENVILLE TANK FARM","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE)","","CADDO MILLS","HUNT","TX",33.03568558,-96.20079871,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",0.2,NA,0.2,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,20,0,500,0,0,1020
"1670",20140232,19961,2014,"5/14/2014 8:00 AM",4805,"EXPLORER PIPELINE CO","VINITA, OK PUMP STATION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE)","","AFTON","DELAWARE","OK",36.64234919,-94.9731575,"MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",2.5,NA,2.5,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,150,0,57730,0,0,60380
"1674",20160371,21834,2014,"5/19/2014 9:50 AM",32537,"WYOMING PIPELINE COMPANY","WYOMING PIPELINE COMPANY","ONSHORE","UNDERGROUND","CRUDE OIL","","","","NIOBRARA COUNTY","WY",43.37233,-104.26353,"CORROSION","EXTERNAL",35,NA,34,1,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,50,0,200,200,0,950
"1677",20140234,20522,2014,"5/20/2014 1:49 PM",4805,"EXPLORER PIPELINE CO","REMOTE OPERATED BLOCK VALVE AT MILE POST 8.98","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","LA BELLE","JEFFERSON","TX",29.906433,-94.149808,"INCORRECT OPERATION","INCORRECT INSTALLATION",250,NA,250,0,"NO","NO","YES","5/20/2014 13:49","5/20/2014 18:04",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150000,14000,0,800000,6523000,0,7487000
"1678",20140240,19522,2014,"5/21/2014 9:43 AM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","BAYTOWN TERMINAL","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","BAYTOWN","HARRIS COUNTY","TX",29.76673,-95.01269,"MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",1,NA,1,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7000,300,0,5000,5000,0,17300
"1681",20140244,20314,2014,"5/24/2014 5:27 PM",2731,"CHEVRON PIPE LINE CO","BELRIDGE TO KETTLEMAN STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","MISSOURI TRIANGLE","KERN COUNTY","CA",35.28036,-119.42238,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.24,NA,0.24,0,"YES","NO","YES","5/24/2014 17:36","5/25/2014 18:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350000,100,0,5000,0,0,355100
"1682",20140246,19506,2014,"5/25/2014 8:20 AM",300,"PLAINS PIPELINE, L.P.","MIDLAND MESA","ONSHORE","ABOVEGROUND","CRUDE OIL","","","","MIDLAND","TX",32.017924,-102.026822,"INCORRECT OPERATION","OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP",150,NA,110,40,"NO","NO","YES","5/25/2014 11:20","5/25/2014 12:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36500,4000,0,6800,0,0,47300
"1687",20140252,19918,2014,"5/28/2014 3:30 PM",31189,"BP PIPELINE (NORTH AMERICA) INC.","FREEMAN STATION ","ONSHORE","UNDERGROUND","CRUDE OIL","","","FREEMAN","CASS","MO",38.617704,-94.498427,"CORROSION","EXTERNAL",0.71,NA,0.71,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,80,0,1000,1500,0,4580
"1689",20140251,19661,2014,"5/29/2014 1:30 PM",22610,"MAGELLAN PIPELINE COMPANY, LP","ST. PAUL PARK","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE)","","ST. PAUL PARK","WASHINGTON","MN",44.85338,-92.99561,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0.2,NA,0,0.2,"NO","NO","NO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7000,14,0,7000,5000,0,19014
"1699",20160381,21863,2014,"6/18/2014 10:00 AM",32537,"WYOMING PIPELINE COMPANY","WYOMING PIPELINE COMPANY","ONSHORE","ABOVEGROUND","CRUDE OIL","","","","WESTON COUNTY","WY",43.787975,-104.41668333,"INCORRECT OPERATION","INCORRECT VALVE POSITION",0.5,NA,0,0.5,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,0,100,100,0,250
"1701",20140255,19780,2014,"6/20/2014 2:55 AM",2552,"COLONIAL PIPELINE CO","COLONIAL PIPELINE COMPANY / BELLE CHASSE STATION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","BELLE CHASSE","PLAQUEMINES","LA",29.69581,-89.97761,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.3,NA,0.3,0,"NO","NO","YES","6/20/2014 3:07","6/20/2014 17:34",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39,0,267,0,0,306
"1702",20140264,21174,2014,"6/20/2014 8:17 AM",1845,"BUCKEYE PARTNERS, LP","SUGAR CREEK","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE)","","SUGAR CREEK","JACKSON","MO",39.12071,-94.44495,"CORROSION","INTERNAL",11.9,NA,3.3,8.6,"NO","NO","YES","6/20/2014 8:41","6/21/2014 19:29",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,1000,0,285000,250000,0,536150
"1712",20140269,19728,2014,"6/30/2014 7:00 AM",2552,"COLONIAL PIPELINE CO","BENGAL/BATON ROUGE","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","JACKSON","EAST FELICIANA","LA",30.71133,-91.28204,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",0.3,NA,0.3,0,"NO","NO","YES","6/30/2014 7:30","6/30/2014 8:18",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,32,0,8500,0,0,8532
"1713",20140299,20269,2014,"6/30/2014 9:46 AM",32258,"KINDER MORGAN COCHIN LLC","HECTOR PUMP STATION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","OTHER","CONDENSATE","BIRD ISLAND","RENVILLE","MN",44.803407,-94.835427,"NATURAL FORCE DAMAGE","TEMPERATURE",23,NA,23,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,2300,0,0,142484,579,146363
"1721",20140278,19629,2014,"7/8/2014 6:10 PM",26041,"KINDER MORGAN LIQUID TERMINALS, LLC","","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","CARTERET","MIDDLESEX","NJ",40.58547,-74.21357,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.67,NA,0.67,0,"NO","NO","NO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,3000,0,2000,0,0,8000
"1726",20140288,20507,2014,"7/13/2014 6:15 PM",30829,"ENTERPRISE CRUDE PIPELINE LLC","HOBBS STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","HOBBS","LEA","NM",32.650336,-103.139479,"CORROSION","INTERNAL",120,NA,120,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13000,12000,0,5000,38000,0,68000
"1727",20140289,19654,2014,"7/13/2014 8:05 PM",32011,"HOLLY ENERGY PARTNERS - OPERATING, L.P.","TANK 2-73","ONSHORE","TANK","CRUDE OIL","","","CHEYENNE","LARAMIE","WY",41.126883,-104.791108,"NATURAL FORCE DAMAGE","HEAVY RAINS/FLOODS",500,NA,500,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,0,0,2500,2500,0,6000
"1728",20140291,20434,2014,"7/15/2014 3:30 PM",22610,"MAGELLAN PIPELINE COMPANY, LP","COLORADO CITY STATION NO 850","ONSHORE","ABOVEGROUND","CRUDE OIL","","","HERMLEIGH","SCURRY","TX",32.53151,-100.85003,"INCORRECT OPERATION","INCORRECT INSTALLATION",0.12,NA,0.12,0,"NO","NO","YES","7/15/2014 15:30","7/17/2014 15:12",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,15,0,400,3000,900,5515
"1731",20140296,20834,2014,"7/21/2014 2:05 PM",30826,"WILLIAMS FIELD SERVICES","DJ LATERAL","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","KERSY","WELD","CO",40.34117,-104.424018,"MATERIAL/WELD/EQUIP FAILURE","DEFECTIVE OR LOOSE TUBING/FITTING",350,1904,350,0,"YES","NO","YES","7/21/2014 14:20","7/29/2014 19:50",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664000,180000,0,20000,16000,0,880000
"1735",20140302,19679,2014,"7/23/2014 3:38 PM",300,"PLAINS PIPELINE, L.P.","NORTH SALT LAKE JUNCTION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","","DAVIS","UT",40.831354,-111.91978,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",1,NA,1,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,150,0,5000,10000,0,19150
"1744",20140304,20406,2014,"7/26/2014 10:00 AM",30829,"ENTERPRISE CRUDE PIPELINE LLC","HOBBS STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","HOBBS","LEA","NM",32.652052,-103.13993,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",0.2,NA,0.2,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800,20,0,0,0,0,1820
"1746",20140307,21995,2014,"7/28/2014 1:40 AM",30005,"MOBIL PACIFIC PIPELINE CO","THUMS CRUDE M142 CSFM ID-200 PORT OF LA AREA","ONSHORE","UNDERGROUND","CRUDE OIL","","","LONG BEACH","LOS ANGELES","CA",33.7697415,-118.2093535,"CORROSION","INTERNAL",16,NA,16,0,"NO","NO","YES","7/28/2014 1:40","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36000,1600,0,50000,50000,0,137600
"1747",20140308,20223,2014,"7/31/2014 3:30 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","BAYTOWN, TERMINAL","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","BAYTOWN","HARRIS","TX",29.765783,-95.011627,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",0.2,NA,0.2,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285500,25,0,0,0,0,285525
